Date,Open,High,Low,Close,Adj Close,Volume
2017-12-08,7.164000,7.315000,7.159000,7.251000,5.961859,3576624
2017-12-11,7.262000,7.280000,7.161000,7.183000,5.905949,1618129
2017-12-12,7.170000,7.190000,7.066000,7.185000,5.907593,2300138
2017-12-13,7.150000,7.279000,7.150000,7.237000,5.950348,1804506
2017-12-14,7.213000,7.267000,7.191000,7.237000,5.950348,3691139
2017-12-15,7.197000,7.258000,7.093000,7.173000,5.897727,2856694
2017-12-18,7.200000,7.282000,7.148000,7.224000,5.939660,3443519
2017-12-19,7.230000,7.294000,7.201000,7.270000,5.977482,1478649
2017-12-20,7.263000,7.317000,7.226000,7.292000,5.995570,2243707
2017-12-21,7.300000,7.336000,7.222000,7.321000,6.019414,1557765
2017-12-22,7.273000,7.335000,7.242000,7.314000,6.013659,1947101
2017-12-27,7.275000,7.310000,7.240000,7.310000,6.010369,1283726
2017-12-28,7.269000,7.317000,7.255000,7.278000,5.984059,896362
2017-12-29,7.250000,7.325000,7.235000,7.236000,5.949526,1428060
2018-01-02,7.400000,7.530000,7.262000,7.530000,6.191256,3003930
2018-01-03,7.520000,7.680000,7.504000,7.518000,6.181389,2531318
2018-01-04,7.550000,7.566000,7.446000,7.456000,6.130413,3110280
2018-01-05,7.482000,7.520000,7.440000,7.484000,6.153435,1661732
2018-01-08,7.500000,7.584000,7.442000,7.466000,6.138635,4075129
2018-01-09,7.498000,7.560000,7.460000,7.536000,6.196189,1737454
2018-01-10,7.500000,7.510000,7.346000,7.424000,6.104102,2785742
2018-01-11,7.470000,7.530000,7.346000,7.526000,6.187968,1976738
2018-01-12,7.536000,7.592000,7.470000,7.552000,6.209344,2454536
2018-01-15,7.550000,7.560000,7.358000,7.358000,6.049836,3982273
2018-01-16,7.376000,7.466000,7.356000,7.432000,6.110679,1935086
2018-01-17,7.420000,7.420000,7.302000,7.322000,6.020236,2440042
2018-01-18,7.352000,7.426000,7.342000,7.364000,6.054769,2025238
2018-01-19,7.340000,7.466000,7.340000,7.462000,6.135346,1893306
2018-01-22,7.470000,7.470000,7.376000,7.404000,6.087657,1768364
2018-01-23,7.460000,7.632000,7.460000,7.514000,6.178101,2995205
2018-01-24,7.516000,7.534000,7.444000,7.464000,6.136991,2277260
2018-01-25,7.420000,7.464000,7.236000,7.282000,5.987348,3572732
2018-01-26,7.300000,7.438000,7.266000,7.416000,6.097524,1991138
2018-01-29,7.430000,7.430000,7.332000,7.392000,6.077791,966963
2018-01-30,7.344000,7.356000,7.232000,7.260000,5.969259,1860467
2018-01-31,7.276000,7.350000,7.252000,7.320000,6.018592,2525293
2018-02-01,7.332000,7.480000,7.332000,7.400000,6.084368,3440284
2018-02-02,7.360000,7.362000,7.142000,7.152000,5.880460,2553173
2018-02-05,7.104000,7.104000,6.940000,7.068000,5.811394,2449303
2018-02-06,6.800000,7.066000,6.754000,6.978000,5.737396,4993777
2018-02-07,7.012000,7.026000,6.852000,7.016000,5.768639,2860311
2018-02-08,6.960000,7.050000,6.776000,6.800000,5.591041,5464450
2018-02-09,6.752000,6.806000,6.642000,6.676000,5.489087,3596514
2018-02-12,6.776000,6.840000,6.716000,6.766000,5.563086,1981147
2018-02-13,6.796000,6.870000,6.756000,6.772000,5.568020,1814112
